sales_id,order_id,product_id,price_per_unit,quantity,total_sales,customer_id,order_date,order_month,delivery_date,age,city,state,country,gender,product_type,product_name,size,colour
0,1,218,106,2,212,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Shirt,Chambray,L,orange
1,1,481,118,1,118,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Jacket,Puffer,S,indigo
2,1,2,96,3,288,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Shirt,Oxford Cloth,M,red
3,1,1002,106,2,212,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Trousers,Wool,M,blue
4,1,691,113,3,339,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Jacket,Parka,S,indigo
5,1,981,106,3,318,64,2021-08-30,8,2021-09-24,75,Sanfordborough,South Australia,Australia,Others,Trousers,Wool,S,red
6,2,915,96,1,96,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Trousers,Drawstring,XS,orange
7,2,686,113,1,113,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Jacket,Parka,S,blue
8,2,1091,115,3,345,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Trousers,Cropped,S,orange
9,2,1196,105,1,105,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Trousers,Pleated,S,orange
10,2,157,91,3,273,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Shirt,Linen,M,green
11,2,1174,99,2,198,473,2021-02-03,2,2021-02-13,61,Annaton,South Australia,Australia,Male,Trousers,High-Waisted,XL,green
12,3,54,104,1,104,774,2021-10-08,10,2021-11-03,34,West Jonathanshire,Tasmania,Australia,Others,Shirt,Dress,XL,green
13,3,6,96,2,192,774,2021-10-08,10,2021-11-03,34,West Jonathanshire,Tasmania,Australia,Others,Shirt,Oxford Cloth,S,orange
14,3,1010,106,2,212,774,2021-10-08,10,2021-11-03,34,West Jonathanshire,Tasmania,Australia,Others,Trousers,Wool,XS,violet
15,4,1033,90,1,90,433,2021-05-06,5,2021-05-19,46,West Michaelport,Tasmania,Australia,Others,Trousers,Relaxed Leg,L,green
16,4,1184,99,3,297,433,2021-05-06,5,2021-05-19,46,West Michaelport,Tasmania,Australia,Others,Trousers,High-Waisted,XL,indigo
